Participant: ,, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:31:02.76,0,0,0
2024-03-13 19:31:02.80,0,0,0
2024-03-13 19:31:02.85,0,0,0
2024-03-13 19:31:02.90,0,0,0
2024-03-13 19:31:02.93,0,0,0
2024-03-13 19:31:02.95,0,0,0
2024-03-13 19:31:02.98,0,0,0
2024-03-13 19:31:02.100,0,0,0
2024-03-13 19:31:02.103,0,0,0
2024-03-13 19:31:02.105,0,0,0
2024-03-13 19:31:02.108,0,0,0
2024-03-13 19:31:02.110,0,0,0
2024-03-13 19:31:02.113,0,0,0
2024-03-13 19:31:02.115,0,0,0
2024-03-13 19:31:02.118,0,0,0
2024-03-13 19:31:02.120,0,0,0
2024-03-13 19:31:02.123,0,0,0
2024-03-13 19:31:02.125,0,0,0
2024-03-13 19:31:02.129,0,0,0
2024-03-13 19:31:02.131,0,0,0
2024-03-13 19:31:02.133,0,0,0
2024-03-13 19:31:02.137,0,0,0
2024-03-13 19:31:02.139,0,0,0
2024-03-13 19:31:02.142,0,0,0
2024-03-13 19:31:02.145,0,0,0
2024-03-13 19:31:02.147,0,0,0
2024-03-13 19:31:02.151,0,0,0
2024-03-13 19:31:02.154,0,0,0
2024-03-13 19:31:02.156,0,0,0
2024-03-13 19:31:02.159,0,0,0
2024-03-13 19:31:02.161,0,0,0
2024-03-13 19:31:02.165,0,0,0
2024-03-13 19:31:02.168,0,0,0
2024-03-13 19:31:02.170,0,0,0
2024-03-13 19:31:02.173,0,0,0
2024-03-13 19:31:02.176,0,0,0
2024-03-13 19:31:02.178,0,0,0
2024-03-13 19:31:02.182,0,0,0
2024-03-13 19:31:02.185,0,0,0
2024-03-13 19:31:02.187,0,0,0
2024-03-13 19:31:02.191,0,0,0
2024-03-13 19:31:02.193,0,0,0
2024-03-13 19:31:02.196,0,0,0
2024-03-13 19:31:02.199,0,0,0
2024-03-13 19:31:02.203,0,0,0
2024-03-13 19:31:02.204,0,0,0
2024-03-13 19:31:02.208,0,0,0
2024-03-13 19:31:02.211,0,0,0
2024-03-13 19:31:02.214,0,0,0
2024-03-13 19:31:02.216,0,0,0
2024-03-13 19:31:02.219,0,0,0
2024-03-13 19:31:02.222,0,0,0
2024-03-13 19:31:02.224,0,0,0
2024-03-13 19:31:02.228,0,0,0
2024-03-13 19:31:02.231,0,0,0
2024-03-13 19:31:02.234,0,0,0
2024-03-13 19:31:02.236,0,0,0
2024-03-13 19:31:02.239,0,0,0
2024-03-13 19:31:02.241,0,0,0
2024-03-13 19:31:02.245,0,0,0
2024-03-13 19:31:02.248,0,0,0
2024-03-13 19:31:02.250,0,0,0
2024-03-13 19:31:02.253,0,0,0
2024-03-13 19:31:02.257,0,0,0
2024-03-13 19:31:02.259,0,0,0
2024-03-13 19:31:02.261,0,0,0
2024-03-13 19:31:02.265,0,0,0
2024-03-13 19:31:02.268,0,0,0
2024-03-13 19:31:02.271,0,0,0
2024-03-13 19:31:02.273,0,0,0
2024-03-13 19:31:02.277,0,0,0
2024-03-13 19:31:02.279,0,0,0
2024-03-13 19:31:02.282,0,0,0
2024-03-13 19:31:02.285,0,0,0
2024-03-13 19:31:02.287,0,0,0
2024-03-13 19:31:02.291,0,0,0
2024-03-13 19:31:02.294,0,0,0
2024-03-13 19:31:02.297,0,0,0
2024-03-13 19:31:02.299,0,0,0
2024-03-13 19:31:02.302,0,0,0
2024-03-13 19:31:02.306,0,0,0
2024-03-13 19:31:02.309,0,0,0
2024-03-13 19:31:02.313,0,0,0
2024-03-13 19:31:02.315,0,0,0
2024-03-13 19:31:02.319,0,0,0
2024-03-13 19:31:02.321,0,0,0
2024-03-13 19:31:02.326,0,0,0
2024-03-13 19:31:02.328,0,0,0
2024-03-13 19:31:02.332,0,0,0
2024-03-13 19:31:02.334,0,0,0
2024-03-13 19:31:02.337,0,0,0
2024-03-13 19:31:02.341,0,0,0
2024-03-13 19:31:02.344,0,0,0
2024-03-13 19:31:02.347,0,0,0
2024-03-13 19:31:02.350,0,0,0
2024-03-13 19:31:02.352,0,0,0
2024-03-13 19:31:02.356,0,0,0
2024-03-13 19:31:02.359,0,0,0
2024-03-13 19:31:02.361,0,0,0
2024-03-13 19:31:02.364,0,0,0
2024-03-13 19:31:02.367,0,0,0
2024-03-13 19:31:02.370,0,0,0
2024-03-13 19:31:02.373,0,0,0
2024-03-13 19:31:02.376,0,0,0
2024-03-13 19:31:02.378,0,0,0
2024-03-13 19:31:02.382,0,0,0
2024-03-13 19:31:02.385,0,0,0
2024-03-13 19:31:02.389,0,0,0
2024-03-13 19:31:02.392,0,0,0
2024-03-13 19:31:02.394,0,0,0
2024-03-13 19:31:02.397,0,0,0
2024-03-13 19:31:02.400,0,0,0
2024-03-13 19:31:02.403,0,0,0
2024-03-13 19:31:02.407,0,0,0
2024-03-13 19:31:02.410,0,0,0
2024-03-13 19:31:02.413,0,0,0
2024-03-13 19:31:02.417,0,0,0
2024-03-13 19:31:02.419,0,0,0
2024-03-13 19:31:02.423,0,0,0
2024-03-13 19:31:02.425,0,0,0
2024-03-13 19:31:02.429,0,0,0
2024-03-13 19:31:02.433,0,0,0
2024-03-13 19:31:02.435,0,0,0
2024-03-13 19:31:02.438,0,0,0
2024-03-13 19:31:02.441,0,0,0
2024-03-13 19:31:02.444,0,0,0
2024-03-13 19:31:02.447,0,0,0
2024-03-13 19:31:02.449,0,0,0
2024-03-13 19:31:02.452,0,0,0
2024-03-13 19:31:02.455,0,0,0
2024-03-13 19:31:02.458,0,0,0
2024-03-13 19:31:02.462,0,0,0
2024-03-13 19:31:02.466,0,0,0
2024-03-13 19:31:02.469,0,0,0
2024-03-13 19:31:02.472,0,0,0
2024-03-13 19:31:02.475,0,0,0
2024-03-13 19:31:02.477,0,0,0
2024-03-13 19:31:02.481,0,0,0
2024-03-13 19:31:02.483,0,0,0
2024-03-13 19:31:02.486,0,0,0
2024-03-13 19:31:02.489,0,0,0
2024-03-13 19:31:02.491,0,0,0
2024-03-13 19:31:02.495,0,0,0
2024-03-13 19:31:02.498,0,0,0
2024-03-13 19:31:02.500,0,0,0
2024-03-13 19:31:02.503,0,0,0
2024-03-13 19:31:02.506,0,0,0
2024-03-13 19:31:02.510,0,0,0
2024-03-13 19:31:02.513,0,0,0
2024-03-13 19:31:02.517,0,0,0
2024-03-13 19:31:02.519,0,0,0
2024-03-13 19:31:02.521,0,0,0
2024-03-13 19:31:02.526,0,0,0
2024-03-13 19:31:02.529,0,0,0
2024-03-13 19:31:02.532,0,0,0
2024-03-13 19:31:02.534,0,0,0
2024-03-13 19:31:02.537,0,0,0
