Participant: ,, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:13:38.648,0,0,0
2024-03-13 19:13:38.652,0,0,0
2024-03-13 19:13:38.655,0,0,0
2024-03-13 19:13:38.657,0,0,0
2024-03-13 19:13:38.661,0,0,0
2024-03-13 19:13:38.663,0,0,0
2024-03-13 19:13:38.666,0,0,0
2024-03-13 19:13:38.669,0,0,0
2024-03-13 19:13:38.671,0,0,0
2024-03-13 19:13:38.674,0,0,0
2024-03-13 19:13:38.677,0,0,0
2024-03-13 19:13:38.680,0,0,0
2024-03-13 19:13:38.683,0,0,0
2024-03-13 19:13:38.685,0,0,0
2024-03-13 19:13:38.687,0,0,0
2024-03-13 19:13:38.689,0,0,0
2024-03-13 19:13:38.693,0,0,0
2024-03-13 19:13:38.697,0,0,0
2024-03-13 19:13:38.699,0,0,0
2024-03-13 19:13:38.702,0,0,0
2024-03-13 19:13:38.711,0,0,0
2024-03-13 19:13:38.715,0,0,0
2024-03-13 19:13:38.717,0,0,0
2024-03-13 19:13:38.721,0,0,0
2024-03-13 19:13:38.723,0,0,0
2024-03-13 19:13:38.726,0,0,0
2024-03-13 19:13:38.728,0,0,0
2024-03-13 19:13:38.731,0,0,0
2024-03-13 19:13:38.734,0,0,0
2024-03-13 19:13:38.737,0,0,0
2024-03-13 19:13:38.740,0,0,0
2024-03-13 19:13:38.742,0,0,0
2024-03-13 19:13:38.745,0,0,0
2024-03-13 19:13:38.748,0,0,0
2024-03-13 19:13:38.750,0,0,0
2024-03-13 19:13:38.753,0,0,0
2024-03-13 19:13:38.756,0,0,0
2024-03-13 19:13:38.758,0,0,0
2024-03-13 19:13:38.761,0,0,0
2024-03-13 19:13:38.763,0,0,0
2024-03-13 19:13:38.766,0,0,0
2024-03-13 19:13:38.769,0,0,0
2024-03-13 19:13:38.771,0,0,0
2024-03-13 19:13:38.774,0,0,0
2024-03-13 19:13:38.776,0,0,0
2024-03-13 19:13:38.779,0,0,0
2024-03-13 19:13:38.781,0,0,0
2024-03-13 19:13:38.784,0,0,0
2024-03-13 19:13:38.788,0,0,0
2024-03-13 19:13:38.790,0,0,0
2024-03-13 19:13:38.793,0,0,0
2024-03-13 19:13:38.796,0,0,0
2024-03-13 19:13:38.798,0,0,0
2024-03-13 19:13:38.801,0,0,0
2024-03-13 19:13:38.804,0,0,0
2024-03-13 19:13:38.806,0,0,0
2024-03-13 19:13:38.809,0,0,0
2024-03-13 19:13:38.812,0,0,0
2024-03-13 19:13:38.815,0,0,0
