Participant(Audio Folder): ,Participant02
Video Folder:,_Germany_
Audio Order
01,
02,
03,
04,
05,
06,
07,
08,
09,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
Time,Millisecond,VideoClip,AudioClip,Headrotation X,Headrotation Y,Headrotation Z
10:18:43,638,Not play video,Not play audio,-0.06849049,0.02826019,0.01827847
10:18:43,665,Not play video,Not play audio,-0.06996196,0.02647821,0.01994956
10:18:43,679,Not play video,Not play audio,-0.06982218,0.02560342,0.01943458
10:18:43,693,Not play video,Not play audio,-0.06930838,0.02480214,0.01936398
10:18:43,721,Not play video,Not play audio,-0.06724624,0.02356436,0.01844429
10:18:43,735,Not play video,Not play audio,-0.06589729,0.02289717,0.01761883
10:18:43,762,Not play video,Not play audio,-0.06260277,0.02143483,0.01670784
10:18:43,776,Not play video,Not play audio,-0.06109074,0.02120656,0.01591513
10:18:43,804,Not play video,Not play audio,-0.0587419,0.02113954,0.01492208
10:18:43,818,Not play video,Not play audio,-0.05798803,0.02119793,0.01472968
10:18:43,832,Not play video,Not play audio,-0.05817239,0.0216422,0.01460511
10:18:43,860,Not play video,Not play audio,-0.05983007,0.02224941,0.01435457
10:18:43,873,Not play video,Not play audio,-0.06021202,0.02272807,0.01418283
10:18:43,901,Not play video,Not play audio,-0.06086975,0.02357957,0.01347307
10:18:43,915,Not play video,Not play audio,-0.06107461,0.02434511,0.0130481
10:18:43,943,Not play video,Not play audio,-0.06179566,0.02559007,0.01228172
10:18:43,957,Not play video,Not play audio,-0.06224327,0.02608369,0.01155243
10:18:43,984,Not play video,Not play audio,-0.06282462,0.02675936,0.009184613
10:18:43,999,Not play video,Not play audio,-0.06253661,0.02705801,0.007877779
10:18:44,11,Not play video,Not play audio,-0.06235721,0.02751918,0.00672056
10:18:44,40,Not play video,Not play audio,-0.06187116,0.02870366,0.004650265
10:18:44,54,Not play video,Not play audio,-0.06164083,0.02944582,0.00412309
10:18:44,82,Not play video,Not play audio,-0.06129566,0.03097417,0.004116261
10:18:44,95,Not play video,Not play audio,-0.06121318,0.03177549,0.00414073
10:18:44,123,Not play video,Not play audio,-0.06074185,0.0337411,0.003698732
10:18:44,137,Not play video,Not play audio,-0.06061184,0.03495549,0.003716425
10:18:44,165,Not play video,Not play audio,-0.06055454,0.0375702,0.004459064
10:18:44,179,Not play video,Not play audio,-0.06097813,0.03866205,0.005267176
10:18:44,193,Not play video,Not play audio,-0.06153452,0.03930337,0.006157121
10:18:44,220,Not play video,Not play audio,-0.0630663,0.0389863,0.008045631
10:18:44,235,Not play video,Not play audio,-0.06363733,0.03828786,0.008672469
10:18:44,263,Not play video,Not play audio,-0.06450927,0.03662173,0.009117996
10:18:44,276,Not play video,Not play audio,-0.06498839,0.03574035,0.009014092
10:18:44,304,Not play video,Not play audio,-0.06601071,0.0343128,0.008545145
10:18:44,318,Not play video,Not play audio,-0.06688616,0.03370519,0.008287307
10:18:44,331,Not play video,Not play audio,-0.06757899,0.03329388,0.008051867
10:18:44,359,Not play video,Not play audio,-0.06785183,0.03347533,0.006096838
10:18:44,373,Not play video,Not play audio,-0.0676202,0.03386277,0.004768044
10:18:44,402,Not play video,Not play audio,-0.06723806,0.03502698,0.002532904
10:18:44,416,Not play video,Not play audio,-0.06710289,0.03545404,0.002147564
10:18:44,432,Not play video,Not play audio,-0.06666175,0.03584861,0.002174166
10:18:44,460,Not play video,Not play audio,-0.06565903,0.03583244,0.003332512
10:18:44,474,Not play video,Not play audio,-0.06540782,0.0354201,0.003917248
10:18:44,505,Not play video,Not play audio,-0.06699817,0.03251072,0.004911674
10:18:44,520,Not play video,Not play audio,-0.06816297,0.03099568,0.00392685
10:18:44,534,Not play video,Not play audio,-0.06808247,0.03019842,0.001224101
10:18:44,562,Not play video,Not play audio,-0.06562449,0.03010827,-0.006037197
10:18:44,579,Not play video,Not play audio,-0.06424639,0.03024405,-0.008737254
10:18:44,593,Not play video,Not play audio,-0.06342455,0.03041231,-0.0104711
10:18:44,621,Not play video,Not play audio,-0.06537534,0.031325,-0.0133001
10:18:44,635,Not play video,Not play audio,-0.0666309,0.03227267,-0.01450583
10:18:44,664,Not play video,Not play audio,-0.06686174,0.03422506,-0.01749712
10:18:44,677,Not play video,Not play audio,-0.06587396,0.03520055,-0.01894351
10:18:44,705,Not play video,Not play audio,-0.06232207,0.03749081,-0.02093893
10:18:44,719,Not play video,Not play audio,-0.06108403,0.03873899,-0.02121435
10:18:44,733,Not play video,Not play audio,-0.06051703,0.03989081,-0.02140076
10:18:44,761,Not play video,Not play audio,-0.06143355,0.0433345,-0.02116949
10:18:44,775,Not play video,Not play audio,-0.06226126,0.04518588,-0.02085951
10:18:44,803,Not play video,Not play audio,-0.06425336,0.04796891,-0.019446
10:18:44,817,Not play video,Not play audio,-0.06484955,0.04890799,-0.0191413
10:18:44,844,Not play video,Not play audio,-0.06517503,0.04995918,-0.01937493
10:18:44,859,Not play video,Not play audio,-0.06526425,0.05035445,-0.01988335
10:18:44,872,Not play video,Not play audio,-0.06545102,0.05074367,-0.02014532
10:18:44,900,Not play video,Not play audio,-0.06636631,0.05104738,-0.0208011
10:18:44,914,Not play video,Not play audio,-0.06673305,0.05128842,-0.02156259
10:18:44,942,Not play video,Not play audio,-0.06681053,0.05141053,-0.02294558
10:18:44,956,Not play video,Not play audio,-0.06637888,0.05145074,-0.02325645
10:18:44,984,Not play video,Not play audio,-0.06506395,0.05149869,-0.0226899
10:18:44,997,Not play video,Not play audio,-0.06450167,0.0515689,-0.02203401
10:18:45,25,Not play video,Not play audio,-0.06362225,0.05224834,-0.02072171
10:18:45,40,Not play video,Not play audio,-0.06319899,0.05275322,-0.02003112
10:18:45,53,Not play video,Not play audio,-0.06246079,0.05336252,-0.01945839
10:18:45,81,Not play video,Not play audio,-0.06116573,0.05447045,-0.01847424
10:18:45,94,Not play video,Not play audio,-0.06073274,0.05497167,-0.01796358
10:18:45,123,Not play video,Not play audio,-0.06081472,0.05559443,-0.01699283
10:18:45,137,Not play video,Not play audio,-0.0614694,0.05578584,-0.01694815
10:18:45,164,Not play video,Not play audio,-0.06230228,0.05619323,-0.01522219
10:18:45,179,Not play video,Not play audio,-0.06242978,0.05631494,-0.01468457
10:18:45,192,Not play video,Not play audio,-0.0624686,0.0566176,-0.01404663
10:18:45,220,Not play video,Not play audio,-0.06318659,0.05697102,-0.01292189
10:18:45,234,Not play video,Not play audio,-0.06431686,0.0572098,-0.01233942
10:18:45,262,Not play video,Not play audio,-0.06631979,0.05740492,-0.01114842
10:18:45,276,Not play video,Not play audio,-0.06674192,0.05752986,-0.01092996
10:18:45,303,Not play video,Not play audio,-0.06768486,0.05758936,-0.01096331
10:18:45,317,Not play video,Not play audio,-0.06814675,0.05753114,-0.01120772
10:18:45,345,Not play video,Not play audio,-0.06924585,0.05669665,-0.01174882
10:18:45,359,Not play video,Not play audio,-0.07000837,0.05604428,-0.01221045
10:18:45,373,Not play video,Not play audio,-0.0707632,0.0552692,-0.01267973
10:18:45,401,Not play video,Not play audio,-0.07249667,0.05318269,-0.01407924
10:18:45,415,Not play video,Not play audio,-0.07358492,0.05219283,-0.01478159
10:18:45,442,Not play video,Not play audio,-0.07470736,0.05060843,-0.0162359
10:18:45,456,Not play video,Not play audio,-0.07455303,0.05035615,-0.01711971
10:18:45,484,Not play video,Not play audio,-0.07420945,0.04967939,-0.01748271
10:18:45,498,Not play video,Not play audio,-0.07423985,0.04945931,-0.01764413
10:18:45,512,Not play video,Not play audio,-0.07445581,0.04928372,-0.01798939
10:18:45,540,Not play video,Not play audio,-0.07426478,0.04974981,-0.01835464
10:18:45,554,Not play video,Not play audio,-0.07446168,0.05024794,-0.01831808
10:18:45,581,Not play video,Not play audio,-0.07662692,0.05113874,-0.01682073
10:18:45,595,Not play video,Not play audio,-0.07767274,0.05147107,-0.01655388
10:18:45,623,Not play video,Not play audio,-0.07836788,0.05228865,-0.01729892
10:18:45,636,Not play video,Not play audio,-0.07793886,0.05279098,-0.01803067
10:18:45,665,Not play video,Not play audio,-0.07740388,0.05378227,-0.0188235
10:18:45,679,Not play video,Not play audio,-0.07760628,0.0542505,-0.01875335
10:18:45,692,Not play video,Not play audio,-0.07791407,0.05480463,-0.01861736
10:18:45,720,Not play video,Not play audio,-0.07824871,0.05637862,-0.01823277
10:18:45,734,Not play video,Not play audio,-0.07806146,0.05676766,-0.01715892
10:18:45,762,Not play video,Not play audio,-0.07779621,0.05691883,-0.01493106
10:18:45,775,Not play video,Not play audio,-0.07782183,0.05685373,-0.01443042
10:18:45,804,Not play video,Not play audio,-0.07785569,0.05602469,-0.01325546
