Participant(Audio Folder): ,Participant02
Video Folder:,_Germany_
Audio Order
01,
02,
03,
04,
05,
06,
07,
08,
09,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
Time,Millisecond,VideoClip,AudioClip,Headrotation X,Headrotation Y,Headrotation Z
11:07:18,391,Not play video,Not play audio,-0.07698075,0.01906351,0.03783119
11:07:18,404,Not play video,Not play audio,-0.0768923,0.01876424,0.03748746
11:07:18,431,Not play video,Not play audio,-0.07668893,0.01822463,0.03759195
11:07:18,445,Not play video,Not play audio,-0.07648247,0.01792742,0.03754185
11:07:18,472,Not play video,Not play audio,-0.07622439,0.01763527,0.03748782
11:07:18,485,Not play video,Not play audio,-0.07614724,0.01757542,0.03742493
11:07:18,513,Not play video,Not play audio,-0.07623724,0.01742952,0.03753122
11:07:18,526,Not play video,Not play audio,-0.07601231,0.01731373,0.03742406
11:07:18,554,Not play video,Not play audio,-0.07560689,0.01702229,0.0371743
11:07:18,568,Not play video,Not play audio,-0.07562885,0.01679968,0.03701056
11:07:18,582,Not play video,Not play audio,-0.07572302,0.01681183,0.03674491
11:07:18,610,Not play video,Not play audio,-0.07584456,0.01673017,0.03661096
11:07:18,624,Not play video,Not play audio,-0.07588604,0.0168272,0.03640885
11:07:18,652,Not play video,Not play audio,-0.07597145,0.01712845,0.03616638
11:07:18,665,Not play video,Not play audio,-0.07584696,0.01728033,0.03610423
11:07:18,693,Not play video,Not play audio,-0.07551138,0.0175767,0.03641339
11:07:18,707,Not play video,Not play audio,-0.07541431,0.01751318,0.03704279
11:07:18,721,Not play video,Not play audio,-0.07539641,0.01749159,0.03746006
11:07:18,749,Not play video,Not play audio,-0.07486279,0.01720929,0.0375701
11:07:18,763,Not play video,Not play audio,-0.07466075,0.01691764,0.03752428
11:07:18,790,Not play video,Not play audio,-0.07438049,0.0163392,0.03754957
11:07:18,805,Not play video,Not play audio,-0.07441072,0.01601532,0.0371974
11:07:18,832,Not play video,Not play audio,-0.07380893,0.01539933,0.03668194
11:07:18,846,Not play video,Not play audio,-0.07361601,0.01519208,0.03628096
11:07:18,874,Not play video,Not play audio,-0.07288232,0.01495212,0.03557964
11:07:18,888,Not play video,Not play audio,-0.07270464,0.0149673,0.03559674
11:07:18,915,Not play video,Not play audio,-0.07265502,0.01518559,0.03609787
11:07:18,930,Not play video,Not play audio,-0.072554,0.0151938,0.03643494
11:07:18,944,Not play video,Not play audio,-0.07263983,0.01540158,0.03673832
11:07:18,972,Not play video,Not play audio,-0.07273688,0.01573556,0.03745053
11:07:18,986,Not play video,Not play audio,-0.07260659,0.01590527,0.03732876
11:07:19,14,Not play video,Not play audio,-0.07165505,0.01667083,0.03629768
11:07:19,28,Not play video,Not play audio,-0.0706096,0.01732181,0.03509757
11:07:19,55,Not play video,Not play audio,-0.0694807,0.01919977,0.03335183
11:07:19,69,Not play video,Not play audio,-0.06918429,0.02019691,0.03281419
