Participant(Audio Folder): ,Default
Video Folder:,New York
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Time,Millisecond,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
13:27:05,236,V01_3308_TMP,A01_exp_1,-0.1187368,0.02127644,-0.04354813,Not Look At
13:27:05,250,V01_3308_TMP,A01_exp_1,-0.1196175,0.0207006,-0.0423594,Not Look At
13:27:05,277,V01_3308_TMP,A01_exp_1,-0.1242257,0.01785542,-0.03905172,Not Look At
13:27:05,292,V01_3308_TMP,A01_exp_1,-0.125319,0.01671303,-0.03859857,Not Look At
13:27:05,320,V01_3308_TMP,A01_exp_1,-0.1305148,0.01282722,-0.03657088,Not Look At
13:27:05,334,V01_3308_TMP,A01_exp_1,-0.1345267,0.01029711,-0.03696019,Not Look At
13:27:05,347,V01_3308_TMP,A01_exp_1,-0.1374283,0.007260518,-0.03822282,Not Look At
13:27:05,376,V01_3308_TMP,A01_exp_1,-0.1441911,-0.003143472,-0.04345029,Not Look At
13:27:05,389,V01_3308_TMP,A01_exp_1,-0.1481629,-0.009870415,-0.04631603,Not Look At
13:27:05,418,V01_3308_TMP,A01_exp_1,-0.1561488,-0.02758471,-0.05518762,Not Look At
13:27:05,431,V01_3308_TMP,A01_exp_1,-0.1591889,-0.03707487,-0.05927878,Not Look At
13:27:05,459,V01_3308_TMP,A01_exp_1,-0.1657201,-0.05357073,-0.06510741,Not Look At
13:27:05,473,V01_3308_TMP,A01_exp_1,-0.1683098,-0.06087381,-0.06758353,Not Look At
13:27:05,501,V01_3308_TMP,A01_exp_1,-0.1722973,-0.07267694,-0.07059878,Not Look At
13:27:05,515,V01_3308_TMP,A01_exp_1,-0.1736423,-0.07742997,-0.0710003,Not Look At
13:27:05,529,V01_3308_TMP,A01_exp_1,-0.1743727,-0.08130408,-0.07137343,Not Look At
13:27:05,557,V01_3308_TMP,A01_exp_1,-0.1753935,-0.08621048,-0.07126217,Not Look At
13:27:05,571,V01_3308_TMP,A01_exp_1,-0.1753642,-0.08793435,-0.07104778,Not Look At
13:27:05,599,V01_3308_TMP,A01_exp_1,-0.1745441,-0.08923844,-0.07221156,Not Look At
13:27:05,613,V01_3308_TMP,A01_exp_1,-0.1739983,-0.08812789,-0.07341874,Not Look At
13:27:05,640,V01_3308_TMP,A01_exp_1,-0.1732291,-0.08488598,-0.07424526,Not Look At
13:27:05,654,V01_3308_TMP,A01_exp_1,-0.1727564,-0.08222248,-0.07384162,Not Look At
13:27:05,668,V01_3308_TMP,A01_exp_1,-0.1716712,-0.07905323,-0.07348766,Not Look At
13:27:05,697,V01_3308_TMP,A01_exp_1,-0.1682288,-0.07099463,-0.07150739,Not Look At
13:27:05,710,V01_3308_TMP,A01_exp_1,-0.1665965,-0.06641477,-0.06955019,Not Look At
13:27:05,738,V01_3308_TMP,A01_exp_1,-0.1642554,-0.05471724,-0.06657705,Not Look At
13:27:05,752,V01_3308_TMP,A01_exp_1,-0.1638585,-0.04907233,-0.06461968,Not Look At
13:27:05,780,V01_3308_TMP,A01_exp_1,-0.163372,-0.03830788,-0.06161242,Not Look At
13:27:05,794,V01_3308_TMP,A01_exp_1,-0.1618213,-0.03350627,-0.06082933,Not Look At
13:27:05,807,V01_3308_TMP,A01_exp_1,-0.1606772,-0.02864905,-0.06076453,Not Look At
13:27:05,836,V01_3308_TMP,A01_exp_1,-0.1595152,-0.0201668,-0.06009987,Not Look At
13:27:05,849,V01_3308_TMP,A01_exp_1,-0.1603031,-0.01670332,-0.05970195,Not Look At
13:27:05,878,V01_3308_TMP,A01_exp_1,-0.1613035,-0.01134398,-0.06076049,Not Look At
13:27:05,891,V01_3308_TMP,A01_exp_1,-0.1608637,-0.009554025,-0.06124779,Not Look At
