Participant: ,Default, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:32:03.575,0,0,0
2024-03-13 19:32:03.579,0,0,0
2024-03-13 19:32:03.581,0,0,0
2024-03-13 19:32:03.586,0,0,0
2024-03-13 19:32:03.589,0,0,0
2024-03-13 19:32:03.591,0,0,0
2024-03-13 19:32:03.594,0,0,0
2024-03-13 19:32:03.597,0,0,0
2024-03-13 19:32:03.599,0,0,0
2024-03-13 19:32:03.603,0,0,0
2024-03-13 19:32:03.606,0,0,0
2024-03-13 19:32:03.610,0,0,0
2024-03-13 19:32:03.613,0,0,0
2024-03-13 19:32:03.615,0,0,0
2024-03-13 19:32:03.618,0,0,0
2024-03-13 19:32:03.621,0,0,0
2024-03-13 19:32:03.624,0,0,0
2024-03-13 19:32:03.627,0,0,0
2024-03-13 19:32:03.630,0,0,0
2024-03-13 19:32:03.632,0,0,0
2024-03-13 19:32:03.634,0,0,0
2024-03-13 19:32:03.637,0,0,0
2024-03-13 19:32:03.641,0,0,0
2024-03-13 19:32:03.644,0,0,0
2024-03-13 19:32:03.647,0,0,0
2024-03-13 19:32:03.650,0,0,0
2024-03-13 19:32:03.653,0,0,0
2024-03-13 19:32:03.656,0,0,0
2024-03-13 19:32:03.659,0,0,0
2024-03-13 19:32:03.662,0,0,0
2024-03-13 19:32:03.665,0,0,0
2024-03-13 19:32:03.667,0,0,0
2024-03-13 19:32:03.669,0,0,0
2024-03-13 19:32:03.673,0,0,0
2024-03-13 19:32:03.676,0,0,0
2024-03-13 19:32:03.678,0,0,0
2024-03-13 19:32:03.681,0,0,0
2024-03-13 19:32:03.684,0,0,0
2024-03-13 19:32:03.687,0,0,0
2024-03-13 19:32:03.689,0,0,0
2024-03-13 19:32:03.693,0,0,0
2024-03-13 19:32:03.695,0,0,0
2024-03-13 19:32:03.699,0,0,0
2024-03-13 19:32:03.701,0,0,0
2024-03-13 19:32:03.704,0,0,0
2024-03-13 19:32:03.706,0,0,0
2024-03-13 19:32:03.708,0,0,0
2024-03-13 19:32:03.712,0,0,0
2024-03-13 19:32:03.715,0,0,0
2024-03-13 19:32:03.719,0,0,0
2024-03-13 19:32:03.722,0,0,0
2024-03-13 19:32:03.725,0,0,0
2024-03-13 19:32:03.727,0,0,0
2024-03-13 19:32:03.730,0,0,0
2024-03-13 19:32:03.733,0,0,0
2024-03-13 19:32:03.735,0,0,0
2024-03-13 19:32:03.738,0,0,0
2024-03-13 19:32:03.740,0,0,0
2024-03-13 19:32:03.744,0,0,0
2024-03-13 19:32:03.747,0,0,0
2024-03-13 19:32:03.750,0,0,0
2024-03-13 19:32:03.753,0,0,0
2024-03-13 19:32:03.755,0,0,0
2024-03-13 19:32:03.758,0,0,0
2024-03-13 19:32:03.760,0,0,0
2024-03-13 19:32:03.763,0,0,0
2024-03-13 19:32:03.765,0,0,0
2024-03-13 19:32:03.768,0,0,0
2024-03-13 19:32:03.771,0,0,0
2024-03-13 19:32:03.774,0,0,0
2024-03-13 19:32:03.776,0,0,0
2024-03-13 19:32:03.781,0,0,0
2024-03-13 19:32:03.784,0,0,0
2024-03-13 19:32:03.785,0,0,0
2024-03-13 19:32:03.788,0,0,0
2024-03-13 19:32:03.792,0,0,0
2024-03-13 19:32:03.794,0,0,0
2024-03-13 19:32:03.797,0,0,0
2024-03-13 19:32:03.800,0,0,0
2024-03-13 19:32:03.803,0,0,0
2024-03-13 19:32:03.805,0,0,0
2024-03-13 19:32:03.808,0,0,0
2024-03-13 19:32:03.811,0,0,0
2024-03-13 19:32:03.813,0,0,0
2024-03-13 19:32:03.816,0,0,0
2024-03-13 19:32:03.819,0,0,0
2024-03-13 19:32:03.822,0,0,0
2024-03-13 19:32:03.824,0,0,0
2024-03-13 19:32:03.828,0,0,0
2024-03-13 19:32:03.830,0,0,0
2024-03-13 19:32:03.833,0,0,0
2024-03-13 19:32:03.836,0,0,0
2024-03-13 19:32:03.839,0,0,0
2024-03-13 19:32:03.841,0,0,0
2024-03-13 19:32:03.845,0,0,0
2024-03-13 19:32:03.847,0,0,0
2024-03-13 19:32:03.850,0,0,0
2024-03-13 19:32:03.853,0,0,0
2024-03-13 19:32:03.856,0,0,0
2024-03-13 19:32:03.859,0,0,0
2024-03-13 19:32:03.863,0,0,0
2024-03-13 19:32:03.866,0,0,0
2024-03-13 19:32:03.869,0,0,0
2024-03-13 19:32:03.871,0,0,0
2024-03-13 19:32:03.874,0,0,0
2024-03-13 19:32:03.876,0,0,0
2024-03-13 19:32:03.880,0,0,0
2024-03-13 19:32:03.882,0,0,0
2024-03-13 19:32:03.884,0,0,0
2024-03-13 19:32:03.886,0,0,0
2024-03-13 19:32:03.891,0,0,0
2024-03-13 19:32:03.894,0,0,0
2024-03-13 19:32:03.896,0,0,0
2024-03-13 19:32:03.898,0,0,0
2024-03-13 19:32:03.902,0,0,0
2024-03-13 19:32:03.905,0,0,0
2024-03-13 19:32:03.907,0,0,0
2024-03-13 19:32:03.910,0,0,0
2024-03-13 19:32:03.913,0,0,0
2024-03-13 19:32:03.916,0,0,0
2024-03-13 19:32:03.918,0,0,0
2024-03-13 19:32:03.923,0,0,0
2024-03-13 19:32:03.926,0,0,0
2024-03-13 19:32:03.928,0,0,0
2024-03-13 19:32:03.932,0,0,0
2024-03-13 19:32:03.934,0,0,0
2024-03-13 19:32:03.937,0,0,0
2024-03-13 19:32:03.939,0,0,0
2024-03-13 19:32:03.943,0,0,0
2024-03-13 19:32:03.946,0,0,0
2024-03-13 19:32:03.949,0,0,0
2024-03-13 19:32:03.953,0,0,0
2024-03-13 19:32:03.955,0,0,0
2024-03-13 19:32:03.958,0,0,0
2024-03-13 19:32:03.961,0,0,0
2024-03-13 19:32:03.964,0,0,0
2024-03-13 19:32:03.967,0,0,0
2024-03-13 19:32:03.970,0,0,0
2024-03-13 19:32:03.972,0,0,0
2024-03-13 19:32:03.975,0,0,0
2024-03-13 19:32:03.978,0,0,0
2024-03-13 19:32:03.981,0,0,0
2024-03-13 19:32:03.985,0,0,0
2024-03-13 19:32:03.987,0,0,0
2024-03-13 19:32:03.990,0,0,0
2024-03-13 19:32:03.993,0,0,0
2024-03-13 19:32:03.997,0,0,0
2024-03-13 19:32:04.1,0,0,0
2024-03-13 19:32:04.3,0,0,0
2024-03-13 19:32:04.6,0,0,0
2024-03-13 19:32:04.8,0,0,0
2024-03-13 19:32:04.11,0,0,0
2024-03-13 19:32:04.13,0,0,0
2024-03-13 19:32:04.17,0,0,0
2024-03-13 19:32:04.18,0,0,0
2024-03-13 19:32:04.22,0,0,0
2024-03-13 19:32:04.24,0,0,0
2024-03-13 19:32:04.27,0,0,0
2024-03-13 19:32:04.30,0,0,0
2024-03-13 19:32:04.33,0,0,0
2024-03-13 19:32:04.36,0,0,0
2024-03-13 19:32:04.39,0,0,0
2024-03-13 19:32:04.42,0,0,0
2024-03-13 19:32:04.45,0,0,0
2024-03-13 19:32:04.49,0,0,0
2024-03-13 19:32:04.51,0,0,0
2024-03-13 19:32:04.54,0,0,0
2024-03-13 19:32:04.56,0,0,0
2024-03-13 19:32:04.59,0,0,0
2024-03-13 19:32:04.63,0,0,0
2024-03-13 19:32:04.66,0,0,0
2024-03-13 19:32:04.69,0,0,0
2024-03-13 19:32:04.71,0,0,0
2024-03-13 19:32:04.75,0,0,0
2024-03-13 19:32:04.78,0,0,0
2024-03-13 19:32:04.81,0,0,0
2024-03-13 19:32:04.85,0,0,0
2024-03-13 19:32:04.87,0,0,0
2024-03-13 19:32:04.89,0,0,0
2024-03-13 19:32:04.92,0,0,0
2024-03-13 19:32:04.96,0,0,0
2024-03-13 19:32:04.98,0,0,0
2024-03-13 19:32:04.101,0,0,0
2024-03-13 19:32:04.104,0,0,0
2024-03-13 19:32:04.107,0,0,0
2024-03-13 19:32:04.111,0,0,0
2024-03-13 19:32:04.113,0,0,0
2024-03-13 19:32:04.115,0,0,0
2024-03-13 19:32:04.119,0,0,0
2024-03-13 19:32:04.121,0,0,0
2024-03-13 19:32:04.124,0,0,0
2024-03-13 19:32:04.126,0,0,0
2024-03-13 19:32:04.128,0,0,0
2024-03-13 19:32:04.131,0,0,0
2024-03-13 19:32:04.135,0,0,0
2024-03-13 19:32:04.137,0,0,0
2024-03-13 19:32:04.139,0,0,0
2024-03-13 19:32:04.143,0,0,0
2024-03-13 19:32:04.146,0,0,0
2024-03-13 19:32:04.149,0,0,0
2024-03-13 19:32:04.151,0,0,0
2024-03-13 19:32:04.154,0,0,0
2024-03-13 19:32:04.157,0,0,0
2024-03-13 19:32:04.160,0,0,0
2024-03-13 19:32:04.164,0,0,0
2024-03-13 19:32:04.166,0,0,0
2024-03-13 19:32:04.169,0,0,0
2024-03-13 19:32:04.173,0,0,0
2024-03-13 19:32:04.176,0,0,0
2024-03-13 19:32:04.179,0,0,0
2024-03-13 19:32:04.182,0,0,0
2024-03-13 19:32:04.184,0,0,0
2024-03-13 19:32:04.188,0,0,0
2024-03-13 19:32:04.190,0,0,0
2024-03-13 19:32:04.194,0,0,0
2024-03-13 19:32:04.197,0,0,0
2024-03-13 19:32:04.200,0,0,0
2024-03-13 19:32:04.204,0,0,0
2024-03-13 19:32:04.207,0,0,0
2024-03-13 19:32:04.209,0,0,0
2024-03-13 19:32:04.212,0,0,0
2024-03-13 19:32:04.214,0,0,0
2024-03-13 19:32:04.217,0,0,0
2024-03-13 19:32:04.221,0,0,0
2024-03-13 19:32:04.224,0,0,0
2024-03-13 19:32:04.226,0,0,0
2024-03-13 19:32:04.229,0,0,0
2024-03-13 19:32:04.232,0,0,0
2024-03-13 19:32:04.236,0,0,0
2024-03-13 19:32:04.238,0,0,0
2024-03-13 19:32:04.240,0,0,0
2024-03-13 19:32:04.244,0,0,0
2024-03-13 19:32:04.246,0,0,0
2024-03-13 19:32:04.249,0,0,0
2024-03-13 19:32:04.252,0,0,0
2024-03-13 19:32:04.255,0,0,0
2024-03-13 19:32:04.257,0,0,0
2024-03-13 19:32:04.260,0,0,0
2024-03-13 19:32:04.263,0,0,0
2024-03-13 19:32:04.267,0,0,0
2024-03-13 19:32:04.269,0,0,0
2024-03-13 19:32:04.271,0,0,0
2024-03-13 19:32:04.275,0,0,0
2024-03-13 19:32:04.278,0,0,0
2024-03-13 19:32:04.280,0,0,0
2024-03-13 19:32:04.284,0,0,0
2024-03-13 19:32:04.287,0,0,0
2024-03-13 19:32:04.289,0,0,0
2024-03-13 19:32:04.292,0,0,0
2024-03-13 19:32:04.295,0,0,0
2024-03-13 19:32:04.298,0,0,0
2024-03-13 19:32:04.301,0,0,0
2024-03-13 19:32:04.304,0,0,0
2024-03-13 19:32:04.307,0,0,0
2024-03-13 19:32:04.310,0,0,0
2024-03-13 19:32:04.313,0,0,0
2024-03-13 19:32:04.316,0,0,0
2024-03-13 19:32:04.319,0,0,0
2024-03-13 19:32:04.321,0,0,0
2024-03-13 19:32:04.324,0,0,0
2024-03-13 19:32:04.328,0,0,0
2024-03-13 19:32:04.331,0,0,0
2024-03-13 19:32:04.334,0,0,0
2024-03-13 19:32:04.337,0,0,0
2024-03-13 19:32:04.340,0,0,0
2024-03-13 19:32:04.342,0,0,0
2024-03-13 19:32:04.345,0,0,0
2024-03-13 19:32:04.348,0,0,0
2024-03-13 19:32:04.350,0,0,0
2024-03-13 19:32:04.353,0,0,0
2024-03-13 19:32:04.355,0,0,0
