Participant(Audio Folder): ,Default
Video Folder:,Amsterdan
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Time,Millisecond,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
12:09:39,211,V01 3308 Tmp,A01_exp_1,-0.1026808,-0.1354903,-0.03511848,Not Look At
12:09:39,225,V01 3308 Tmp,A01_exp_1,-0.102487,-0.1354241,-0.03499442,Not Look At
12:09:39,253,V01 3308 Tmp,A01_exp_1,-0.1017287,-0.1351818,-0.03490016,Not Look At
12:09:39,267,V01 3308 Tmp,A01_exp_1,-0.1016044,-0.1351128,-0.03472647,Not Look At
12:09:39,281,V01 3308 Tmp,A01_exp_1,-0.1013208,-0.1350319,-0.0346248,Not Look At
12:09:39,309,V01 3308 Tmp,A01_exp_1,-0.1003944,-0.1350334,-0.03478409,Not Look At
12:09:39,322,V01 3308 Tmp,A01_exp_1,-0.1001488,-0.1349707,-0.03481826,Not Look At
12:09:39,350,V01 3308 Tmp,A01_exp_1,-0.1002362,-0.135051,-0.03447552,Not Look At
12:09:39,365,V01 3308 Tmp,A01_exp_1,-0.1005422,-0.1349638,-0.03430274,Not Look At
12:09:39,392,V01 3308 Tmp,A01_exp_1,-0.1016687,-0.1341136,-0.03417408,Not Look At
12:09:39,406,V01 3308 Tmp,A01_exp_1,-0.102138,-0.1334611,-0.03417083,Not Look At
12:09:39,420,V01 3308 Tmp,A01_exp_1,-0.102821,-0.1326569,-0.0341706,Not Look At
12:09:39,449,V01 3308 Tmp,A01_exp_1,-0.1040922,-0.1305624,-0.03402504,Not Look At
12:09:39,462,V01 3308 Tmp,A01_exp_1,-0.1043754,-0.1293455,-0.03385741,Not Look At
12:09:39,490,V01 3308 Tmp,A01_exp_1,-0.1044216,-0.1266484,-0.03401315,Not Look At
12:09:39,504,V01 3308 Tmp,A01_exp_1,-0.1037815,-0.1250963,-0.03441083,Not Look At
12:09:39,532,V01 3308 Tmp,A01_exp_1,-0.1006328,-0.1217153,-0.03592634,Not Look At
12:09:39,546,V01 3308 Tmp,A01_exp_1,-0.09805002,-0.1198034,-0.03714807,Not Look At
12:09:39,574,V01 3308 Tmp,A01_exp_1,-0.0915499,-0.1158078,-0.03959072,Not Look At
12:09:39,588,V01 3308 Tmp,A01_exp_1,-0.08794805,-0.1136475,-0.04056388,Not Look At
12:09:39,601,V01 3308 Tmp,A01_exp_1,-0.08481427,-0.1118494,-0.04081487,Not Look At
12:09:39,630,V01 3308 Tmp,A01_exp_1,-0.08035523,-0.1078076,-0.04018449,Not Look At
12:09:39,643,V01 3308 Tmp,A01_exp_1,-0.0788045,-0.1058271,-0.03972138,Not Look At
12:09:39,671,V01 3308 Tmp,A01_exp_1,-0.07891972,-0.1015455,-0.03801605,Gaze_3308_V01
12:09:39,685,V01 3308 Tmp,A01_exp_1,-0.0792423,-0.09939641,-0.03720322,Gaze_3308_V01
12:09:39,713,V01 3308 Tmp,A01_exp_1,-0.07967102,-0.09511398,-0.03608266,Gaze_3308_V01
12:09:39,727,V01 3308 Tmp,A01_exp_1,-0.0795097,-0.09308621,-0.0354467,Gaze_3308_V01
12:09:39,755,V01 3308 Tmp,A01_exp_1,-0.07859188,-0.08885755,-0.03519142,Gaze_3308_V01
12:09:39,769,V01 3308 Tmp,A01_exp_1,-0.07745496,-0.08646946,-0.03527466,Gaze_3308_V01
12:09:39,782,V01 3308 Tmp,A01_exp_1,-0.07634858,-0.08419872,-0.03516224,Gaze_3308_V01
12:09:39,810,V01 3308 Tmp,A01_exp_1,-0.07387236,-0.07844601,-0.0353786,Gaze_3308_V01
12:09:39,824,V01 3308 Tmp,A01_exp_1,-0.07215112,-0.07470812,-0.03547257,Gaze_3308_V01
12:09:39,852,V01 3308 Tmp,A01_exp_1,-0.06768499,-0.06537072,-0.03570547,Gaze_3308_V01
12:09:39,867,V01 3308 Tmp,A01_exp_1,-0.06446753,-0.05877852,-0.03614444,Gaze_3308_V01
12:09:39,894,V01 3308 Tmp,A01_exp_1,-0.05713494,-0.04143809,-0.03845872,Gaze_3308_V01
12:09:39,908,V01 3308 Tmp,A01_exp_1,-0.05176065,-0.02802226,-0.03989136,Gaze_3308_V01
12:09:39,922,V01 3308 Tmp,A01_exp_1,-0.04736159,-0.01670384,-0.04086794,Gaze_3308_V01
12:09:39,950,V01 3308 Tmp,A01_exp_1,-0.03276756,0.0321816,-0.04075201,Gaze_3308_V01
12:09:39,964,V01 3308 Tmp,A01_exp_1,-0.0238436,0.0571872,-0.03886362,Gaze_3308_V01
12:09:39,991,V01 3308 Tmp,A01_exp_1,-0.004208455,0.1171573,-0.03884687,Gaze_3308_V01
12:09:40,5,V01 3308 Tmp,A01_exp_1,0.006392023,0.1500641,-0.04033963,Gaze_3308_V01
12:09:40,33,V01 3308 Tmp,A01_exp_1,0.02791124,0.216415,-0.0404912,Not Look At
12:09:40,47,V01 3308 Tmp,A01_exp_1,0.03751171,0.2483391,-0.04002474,Not Look At
12:09:40,61,V01 3308 Tmp,A01_exp_1,0.04673496,0.2798207,-0.03924473,Not Look At
12:09:40,89,V01 3308 Tmp,A01_exp_1,0.06359086,0.3386462,-0.03881359,Not Look At
12:09:40,103,V01 3308 Tmp,A01_exp_1,0.07118308,0.366712,-0.03975054,Not Look At
12:09:40,131,V01 3308 Tmp,A01_exp_1,0.08608296,0.4203926,-0.04195033,Not Look At
12:09:40,144,V01 3308 Tmp,A01_exp_1,0.09152766,0.4466308,-0.04088759,Not Look At
12:09:40,173,V01 3308 Tmp,A01_exp_1,0.103809,0.497444,-0.03455458,Not Look At
12:09:40,187,V01 3308 Tmp,A01_exp_1,0.109872,0.5200123,-0.03048333,Not Look At
12:09:40,200,V01 3308 Tmp,A01_exp_1,0.1166345,0.5405399,-0.0269788,Not Look At
12:09:40,228,V01 3308 Tmp,A01_exp_1,0.1297501,0.5771326,-0.02394411,Not Look At
12:09:40,242,V01 3308 Tmp,A01_exp_1,0.1361283,0.5926424,-0.02246437,Not Look At
