Participant(Audio Folder): ,Default
Video Folder:,New York
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Time,Millisecond,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
11:47:10,296,V01 3308 Tmp,A01_exp_1,-0.1231872,0.06499333,0.01910718,Not Look At
11:47:10,298,V01 3308 Tmp,A01_exp_1,-0.1231872,0.06499333,0.01910718,Not Look At
11:47:10,298,V01 3308 Tmp,A01_exp_1,-0.1231872,0.06499333,0.01910718,Not Look At
11:47:10,298,V01 3308 Tmp,A01_exp_1,-0.1231872,0.06499333,0.01910718,Not Look At
11:47:10,298,V01 3308 Tmp,A01_exp_1,-0.1231872,0.06499333,0.01910718,Not Look At
11:47:10,298,V01 3308 Tmp,A01_exp_1,-0.1231872,0.06499333,0.01910718,Not Look At
11:47:10,298,V01 3308 Tmp,A01_exp_1,-0.1231872,0.06499333,0.01910718,Not Look At
11:47:10,298,V01 3308 Tmp,A01_exp_1,-0.1231872,0.06499333,0.01910718,Not Look At
11:47:10,298,V01 3308 Tmp,A01_exp_1,-0.1231872,0.06499333,0.01910718,Not Look At
11:47:10,315,V01 3308 Tmp,A01_exp_1,-0.1245823,0.07058273,0.01826045,Not Look At
11:47:10,328,V01 3308 Tmp,A01_exp_1,-0.1241351,0.0716212,0.01723783,Not Look At
11:47:10,343,V01 3308 Tmp,A01_exp_1,-0.1232913,0.07247899,0.01624257,Not Look At
11:47:10,372,V01 3308 Tmp,A01_exp_1,-0.121088,0.07629171,0.0157955,Not Look At
11:47:10,387,V01 3308 Tmp,A01_exp_1,-0.1206982,0.07747611,0.0157466,Not Look At
11:47:10,415,V01 3308 Tmp,A01_exp_1,-0.119166,0.08441132,0.01272235,Not Look At
11:47:10,430,V01 3308 Tmp,A01_exp_1,-0.1177082,0.09001167,0.01031028,Not Look At
11:47:10,444,V01 3308 Tmp,A01_exp_1,-0.1157324,0.09668475,0.008209159,Not Look At
11:47:10,472,V01 3308 Tmp,A01_exp_1,-0.1099972,0.1133154,0.007999977,Not Look At
11:47:10,486,V01 3308 Tmp,A01_exp_1,-0.1070962,0.1226036,0.007695458,Not Look At
11:47:10,514,V01 3308 Tmp,A01_exp_1,-0.1033292,0.1362873,0.009067271,Not Look At
11:47:10,528,V01 3308 Tmp,A01_exp_1,-0.1001959,0.1473179,0.01003634,Not Look At
11:47:10,542,V01 3308 Tmp,A01_exp_1,-0.09637743,0.1582603,0.01239561,Not Look At
11:47:10,570,V01 3308 Tmp,A01_exp_1,-0.08781693,0.1761915,0.02001703,Not Look At
11:47:10,584,V01 3308 Tmp,A01_exp_1,-0.08403403,0.1829106,0.02380727,Not Look At
11:47:10,611,V01 3308 Tmp,A01_exp_1,-0.08002676,0.1941065,0.0264349,Not Look At
11:47:10,625,V01 3308 Tmp,A01_exp_1,-0.07939444,0.1993149,0.02636189,Not Look At
11:47:10,653,V01 3308 Tmp,A01_exp_1,-0.07828043,0.2085035,0.02807024,Not Look At
11:47:10,667,V01 3308 Tmp,A01_exp_1,-0.07708938,0.2127333,0.02839511,Not Look At
11:47:10,695,V01 3308 Tmp,A01_exp_1,-0.073407,0.2223727,0.02706034,Not Look At
11:47:10,709,V01 3308 Tmp,A01_exp_1,-0.07046,0.2279874,0.02550338,Not Look At
11:47:10,723,V01 3308 Tmp,A01_exp_1,-0.06667656,0.2336482,0.02448398,Not Look At
11:47:10,750,V01 3308 Tmp,A01_exp_1,-0.05877646,0.242136,0.02497051,Not Look At
11:47:10,764,V01 3308 Tmp,A01_exp_1,-0.0553238,0.2453528,0.02462772,Not Look At
11:47:10,792,V01 3308 Tmp,A01_exp_1,-0.0498968,0.2505722,0.02135736,Not Look At
11:47:10,805,V01 3308 Tmp,A01_exp_1,-0.04816559,0.2541133,0.01889206,Not Look At
11:47:10,834,V01 3308 Tmp,A01_exp_1,-0.04381178,0.2663729,0.01447751,Not Look At
11:47:10,848,V01 3308 Tmp,A01_exp_1,-0.0421739,0.2757618,0.01397323,Not Look At
11:47:10,862,V01 3308 Tmp,A01_exp_1,-0.04054561,0.2897146,0.01337539,Not Look At
11:47:10,889,V01 3308 Tmp,A01_exp_1,-0.03638141,0.3347279,0.0146524,Not Look At
11:47:10,904,V01 3308 Tmp,A01_exp_1,-0.03389793,0.3606741,0.01764501,Not Look At
11:47:10,931,V01 3308 Tmp,A01_exp_1,-0.02785929,0.4235177,0.0232882,Not Look At
11:47:10,945,V01 3308 Tmp,A01_exp_1,-0.02593517,0.4553984,0.02336418,Not Look At
11:47:10,973,V01 3308 Tmp,A01_exp_1,-0.0215585,0.5238857,0.02383224,Not Look At
11:47:10,987,V01 3308 Tmp,A01_exp_1,-0.0185429,0.5583883,0.02440734,Not Look At
11:47:11,15,V01 3308 Tmp,A01_exp_1,-0.01125877,0.627737,0.02427861,Not Look At
11:47:11,29,V01 3308 Tmp,A01_exp_1,-0.006990133,0.6606749,0.0243675,Not Look At
11:47:11,42,V01 3308 Tmp,A01_exp_1,-0.00135044,0.6943101,0.02502183,Not Look At
11:47:11,71,V01 3308 Tmp,A01_exp_1,0.01253409,0.7526935,0.02559238,Not Look At
11:47:11,85,V01 3308 Tmp,A01_exp_1,0.01990048,0.7785584,0.02507761,Not Look At
11:47:11,113,V01 3308 Tmp,A01_exp_1,0.03617968,0.8227316,0.02479878,Not Look At
11:47:11,127,V01 3308 Tmp,A01_exp_1,0.04456977,0.8408529,0.02675882,Not Look At
11:47:11,154,V01 3308 Tmp,A01_exp_1,0.06343327,0.8689017,0.03294963,Not Look At
11:47:11,169,V01 3308 Tmp,A01_exp_1,0.0670271,0.8801937,0.03013602,Not Look At
11:47:11,183,V01 3308 Tmp,A01_exp_1,0.07333111,0.889007,0.03107013,Not Look At
11:47:11,211,V01 3308 Tmp,A01_exp_1,0.08112594,0.8989813,0.02480327,Not Look At
11:47:11,225,V01 3308 Tmp,A01_exp_1,0.0833324,0.9019652,0.01878202,Not Look At
11:47:11,253,V01 3308 Tmp,A01_exp_1,0.08148477,0.9057578,0.006019025,Not Look At
11:47:11,266,V01 3308 Tmp,A01_exp_1,0.07874977,0.9077443,0.0001532336,Not Look At
11:47:11,295,V01 3308 Tmp,A01_exp_1,0.07732636,0.9091039,-0.00725192,Not Look At
11:47:11,309,V01 3308 Tmp,A01_exp_1,0.08063734,0.9090555,-0.01196772,Not Look At
11:47:11,322,V01 3308 Tmp,A01_exp_1,0.0752737,0.9120557,-0.01611844,Not Look At
11:47:11,351,V01 3308 Tmp,A01_exp_1,0.07598341,0.9127153,-0.01945235,Not Look At
11:47:11,364,V01 3308 Tmp,A01_exp_1,0.0757736,0.9143125,-0.01987542,Not Look At
11:47:11,392,V01 3308 Tmp,A01_exp_1,0.0740426,0.9168953,-0.01925219,Not Look At
11:47:11,406,V01 3308 Tmp,A01_exp_1,0.07287861,0.9182472,-0.01966899,Not Look At
11:47:11,434,V01 3308 Tmp,A01_exp_1,0.07359642,0.9191348,-0.02115197,Not Look At
11:47:11,448,V01 3308 Tmp,A01_exp_1,0.07327473,0.9190978,-0.02243506,Not Look At
11:47:11,462,V01 3308 Tmp,A01_exp_1,0.07199106,0.9182993,-0.02400525,Not Look At
11:47:11,490,V01 3308 Tmp,A01_exp_1,0.06920149,0.9156021,-0.02547307,Not Look At
11:47:11,504,V01 3308 Tmp,A01_exp_1,0.0672938,0.9136312,-0.02593573,Not Look At
11:47:11,531,V01 3308 Tmp,A01_exp_1,0.06519115,0.9069027,-0.02610869,Not Look At
11:47:11,546,V01 3308 Tmp,A01_exp_1,0.06339449,0.902504,-0.02589382,Not Look At
11:47:11,573,V01 3308 Tmp,A01_exp_1,0.05987115,0.8909084,-0.02508533,Not Look At
11:47:11,588,V01 3308 Tmp,A01_exp_1,0.05732378,0.8829532,-0.02402381,Not Look At
11:47:11,601,V01 3308 Tmp,A01_exp_1,0.0531065,0.8726801,-0.02157132,Not Look At
11:47:11,630,V01 3308 Tmp,A01_exp_1,0.04006172,0.8479071,-0.01795,Not Look At
11:47:11,643,V01 3308 Tmp,A01_exp_1,0.03126778,0.8318062,-0.01625228,Not Look At
11:47:11,671,V01 3308 Tmp,A01_exp_1,0.01258425,0.7959643,-0.01056242,Not Look At
